id,nombre,alcance,pais,cultivos,enfermedades,imagenes,anotacion,formato,licencia,url_principal,url_descarga,metodo_descarga,uso_entrenamiento,prioridad,estado,notas
DS11,PlantSeg,Internacional,Multipaís,34 hospedantes,69 tipos; 115 combinaciones planta-enfermedad,"11,400+",Máscaras semánticas de zonas enfermas + bounding boxes derivados,JPEG + PNG masks + metadata CSV,CC BY-NC 4.0,https://doi.org/10.5281/zenodo.17719108,https://doi.org/10.5281/zenodo.17719108,Zenodo,"Segmentación de lesión, área afectada y severidad; complemento de PlantWild",P0 - Crítica,Verificado,Tiene train/val/test 70/10/20; la publicación indica metadata y licencia por imagen.
DS12,IP102,Internacional,Multipaís,Productos agrícolas diversos,102 categorías de plagas/insectos,"75,000+","Clasificación; 19,000 imágenes con bounding boxes",Imágenes + clases + bounding boxes,Libre para uso académico; contacto para otros usos,https://github.com/xpwu95/IP102,https://github.com/xpwu95/IP102,Google Drive/AliyunDrive desde README,Detector de plagas; YOLO/RT-DETR; clasificación jerárquica,P0 - Crítica,Verificado,No asumir autorización comercial; debe quedar bloqueado para uso productivo hasta revisión contractual.
DS13,Black Pod Rot Levels,Internacional,Filipinas,Cacao,Black Pod Rot,"~1,000",Clasificación ordinal por nivel 1-5,Imágenes 1080x1080 organizadas en 5 directorios,CC BY-SA 4.0,https://www.kaggle.com/datasets/zaldyjr/black-pod-rot-levels,https://www.kaggle.com/datasets/zaldyjr/black-pod-rot-levels,Kaggle API / descarga,Severidad de pudrición negra en cacao; clasificación ordinal,P1 - Alta,Verificado,Excelente para crear cabeza de severidad separada del diagnóstico de Monilia.
DS14,Cacao diseases - Roboflow Universe,Internacional,Multipaís / origen del proyecto no normalizado,Cacao,Healthy; Monilia; Phytophthora,No publicada en la ficha consultada,Object detection,Roboflow; exportación configurable (p.ej. YOLO/COCO según versión),CC BY 4.0,https://universe.roboflow.com/cacao-mev33/cacao-diseases-hrb5y,https://universe.roboflow.com/cacao-mev33/cacao-diseases-hrb5y,Roboflow export/API; versionar antes de usar,Complementar cacao; detector especializado,P1 - Alta,Verificado,Validar versión y conteo de imágenes al momento de exportar.
DS15,Coffee Leaf Computer Vision Dataset - Roboflow,Internacional,Origen no normalizado,Café,Healthy; Rust; Miner; Phoma,"1,664",Object detection,Roboflow; detección,CC BY 4.0,https://universe.roboflow.com/coffeleaf/coffee-leaf-y9jn4,https://universe.roboflow.com/coffeleaf/coffee-leaf-y9jn4,Roboflow export/API; versionar antes de usar,"Detección visual de roya, minador y Phoma en hoja de café",P1 - Alta,Verificado,Útil para pasar de clasificación a localización de síntomas/plagas.
DS16,AgriPath-LF16 (full),Internacional,Multipaís,16 cultivos,41 enfermedades; 65 pares cultivo-enfermedad,"111,307",Clasificación; metadata lab/field y split,Parquet / Image datasets,Revisar ficha/README antes de uso comercial,https://huggingface.co/datasets/hamzamooraj99/AgriPath-LF16,https://huggingface.co/datasets/hamzamooraj99/AgriPath-LF16,Hugging Face Hub,Benchmark lab-vs-field y comparación CNN/VLM; base de robustez,P1 - Alta,Verificado,La publicación 2026 reporta 111k imágenes y un subset balanceado LF16-30k.
DS17,AgriPath-LF16-30k (subset balanceado),Internacional,Multipaís,16 cultivos,65 pares cultivo-enfermedad,"28,482 (paper) / ~30k de referencia",Clasificación con train/val/test; balance por clase y dominio,Image + text/Parquet en HF,Revisar ficha/README antes de uso comercial,https://huggingface.co/datasets/hamzamooraj99/AgriPath-LF16,https://huggingface.co/datasets/hamzamooraj99/AgriPath-LF16,Hugging Face Hub; aplicar subset según paper,Benchmark controlado; robustez de dominio y selección de arquitectura,P1 - Alta,Verificado,"Paper 2026 corrige/precisa el subset balanceado a 28,482 imágenes con 65 pares."
DS18,AGROSAVIA - Resultados de Análisis de Laboratorio Suelos en Colombia,Nacional - Colombia,Colombia,Multicultivo,N/A,N/A,Datos tabulares de laboratorio,Datos abiertos / portal datos.gov.co,Revisar ficha individual del conjunto,https://www.agrosavia.co/nosotros/transparencia-y-acceso-a-informaci%C3%B3n-p%C3%BAblica/datos-abiertos,https://www.datos.gov.co/,Portal datos.gov.co; localizar por nombre exacto; API Socrata cuando aplique,"Features agronómicas: pH, fertilidad, salinidad y recomendaciones; no es dataset de visión",P0 - Crítica,Verificado - portal,AGROSAVIA confirma publicación de este conjunto en datos.gov.co.
DS19,AGROSAVIA - Análisis vegetal (foliar),Nacional - Colombia,Colombia,Multicultivo,Sintomatología foliar; no necesariamente diagnóstico etiológico,N/A,"Datos tabulares; municipio, departamento, cultivo, variedad, edad, parte, tamaño/color/deformación, fertilización, rendimiento",Datos abiertos / portal datos.gov.co,Revisar ficha individual del conjunto,https://www.agrosavia.co/nosotros/transparencia-y-acceso-a-informaci%C3%B3n-p%C3%BAblica/datos-abiertos,https://www.datos.gov.co/,Portal datos.gov.co; localizar por nombre exacto; API Socrata cuando aplique,Modelo multimodal: visión + sintomatología foliar + contexto agronómico,P0 - Crítica,Verificado - portal,"AGROSAVIA publica que el conjunto incluye cultivo, variedad, edad, parte y sintomatología entre otros campos."
DS20,ICA SISFITO,Nacional - Colombia,Colombia,Multicultivo,"Plagas endémicas/exóticas, importancia económica/cuarentenaria",No declarado como dataset de imágenes,Vigilancia/captura epidemiológica,Sistema web; consultar exportaciones disponibles,Revisar términos/permiso de uso de los datos,https://sisfito.ica.gov.co/,https://sisfito.ica.gov.co/,Consulta/exportación si está habilitada; posible integración institucional,"Contexto epidemiológico, presencia/ausencia, riesgo por territorio; no usar como imagen sin evidencia",P0 - Crítica,Verificado - sistema público,"SISFITO captura y consolida ubicación, especies, plagas y vigilancia general/específica."
DS21,"SIOC / MinAgricultura - Cacao, cifras sectoriales e histórica",Nacional - Colombia,Colombia,Cacao,Monilia y otras variables sectoriales/históricas,N/A,Series/documentos estadísticos; no imágenes,PDF/CSV según recurso,Revisar ficha/condiciones de cada recurso,https://sioc.minagricultura.gov.co/Cacao/,https://sioc.minagricultura.gov.co/Cacao/,Portal SIOC / descarga de documentos,Features temporales y epidemiológicas; evaluación de riesgo por cultivo/región,P1 - Alta,Verificado - portal,Complementa visión; no debe mezclarse como si fuera etiqueta de imagen.
DS22,Open Plant Disease Dataset (referencia de literatura),Internacional,Multipaís,Multicultivo,Diversas,"8,000+ (reportado en literatura)",Compilación heterogénea; revisar fuente por imagen,Heterogéneo,No asumir una única licencia; revisar procedencia,https://pmc.ncbi.nlm.nih.gov/articles/PMC10070872/,No identificado como repositorio único verificable,Discovery only,Solo tras verificación de procedencia/licencia; no incorporar automáticamente,P2 - Condicional,No usar aún,Se deja en inventario para trazabilidad de la lista original; requiere resolver repositorio/licencia por fuente.
